longitude,latitude
154.7508,-50.0331
154.7973,-50.0248
154.7973,-50.0248
154.8438,-50.0165
154.8906,-50.0081
154.9371,-49.9997
154.9371,-49.9997
154.9835,-49.9913
155.0300,-49.9829
155.0764,-49.9745
155.0764,-49.9745
155.1228,-49.9660
155.1692,-49.9576
155.2155,-49.9491
155.2155,-49.9491
155.2619,-49.9406
155.3082,-49.9320
155.3082,-49.9320
155.3545,-49.9235
155.4007,-49.9149
155.4470,-49.9064
155.4470,-49.9064
155.4932,-49.8977
155.5395,-49.8891
155.5857,-49.8805
155.5857,-49.8805
155.6319,-49.8718
155.6781,-49.8631
155.6781,-49.8631
155.7243,-49.8544
155.7704,-49.8457
155.8165,-49.8369
155.8165,-49.8369
155.8626,-49.8282
155.9087,-49.8194
155.9547,-49.8106
155.9547,-49.8106
156.0008,-49.8018
156.0469,-49.7929
156.0469,-49.7929
156.0929,-49.7841
156.1389,-49.7752
156.1849,-49.7663
156.1849,-49.7663
156.2308,-49.7573
156.2768,-49.7484
156.3227,-49.7394
156.3227,-49.7394
156.3686,-49.7304
156.4145,-49.7214
156.4604,-49.7124
156.4604,-49.7124
156.5062,-49.7034
156.5520,-49.6943
156.5520,-49.6943
156.5979,-49.6852
156.6437,-49.6761
156.6895,-49.6670
156.6895,-49.6670
156.7352,-49.6579
156.7810,-49.6487
156.8267,-49.6395
156.8267,-49.6395
156.8725,-49.6303
156.9181,-49.6211
156.9638,-49.6118
156.9638,-49.6118
157.0095,-49.6026
157.0551,-49.5933
157.0551,-49.5933
157.1007,-49.5840
157.1464,-49.5747
157.1919,-49.5653
157.1919,-49.5653
157.2375,-49.5560
157.2831,-49.5466
157.3741,-49.5278
157.3741,-49.5278
157.4196,-49.5183
157.4651,-49.5089
157.4651,-49.5089
157.5105,-49.4994
157.5559,-49.4899
157.6014,-49.4804
157.6014,-49.4804
157.6468,-49.4709
157.6921,-49.4613
157.7375,-49.4517
157.7375,-49.4517
157.7828,-49.4422
157.8282,-49.4325
157.8735,-49.4229
157.8735,-49.4229
157.9188,-49.4132
157.9641,-49.4036
157.9641,-49.4036
158.0094,-49.3939
158.0546,-49.3842
158.0998,-49.3744
158.0998,-49.3744
158.1450,-49.3647
158.1902,-49.3549
158.2354,-49.3451
158.2354,-49.3451
158.2805,-49.3353
158.3257,-49.3255
158.3708,-49.3156
158.3708,-49.3156
158.4159,-49.3058
158.4610,-49.2959
158.4610,-49.2959
158.5060,-49.2860
158.5510,-49.2761
158.5960,-49.2661
158.5960,-49.2661
158.6410,-49.2562
158.6860,-49.2462
158.7309,-49.2362
158.7309,-49.2362
158.7759,-49.2262
158.8208,-49.2161
158.8657,-49.2061
158.8657,-49.2061
158.9106,-49.1960
158.9555,-49.1859
158.9555,-49.1859
159.0003,-49.1758
159.0451,-49.1657
159.0899,-49.1555
159.0899,-49.1555
159.1347,-49.1453
159.1795,-49.1351
159.2242,-49.1249
159.2242,-49.1249
159.2689,-49.1147
159.3137,-49.1045
159.3137,-49.1045
159.3584,-49.0942
159.4030,-49.0839
159.4477,-49.0736
159.4477,-49.0736
159.4923,-49.0633
159.5369,-49.0529
159.5815,-49.0426
159.5815,-49.0426
159.6261,-49.0322
159.6706,-49.0218
159.7152,-49.0114
159.7152,-49.0114
159.7597,-49.0009
159.8041,-48.9905
159.8041,-48.9905
159.8486,-48.9800
159.8931,-48.9695
159.9375,-48.9590
159.9375,-48.9590
159.9819,-48.9485
160.0263,-48.9379
160.0707,-48.9274
160.0707,-48.9274
160.1151,-48.9168
160.1594,-48.9062
160.2037,-48.8956
160.2037,-48.8956
160.2480,-48.8849
160.2923,-48.8743
160.2923,-48.8743
160.3365,-48.8636
160.3808,-48.8529
160.4250,-48.8422
160.4250,-48.8422
160.4692,-48.8314
160.5134,-48.8207
160.5575,-48.8099
160.5575,-48.8099
160.6017,-48.7991
160.6458,-48.7883
160.6899,-48.7775
160.6899,-48.7775
160.7340,-48.7666
160.7780,-48.7558
160.7780,-48.7558
160.8220,-48.7449
160.8661,-48.7340
160.9101,-48.7231
160.9101,-48.7231
160.9541,-48.7121
160.9981,-48.7011
161.0422,-48.6901
161.0422,-48.6901
161.0861,-48.6792
161.1300,-48.6681
161.1739,-48.6571
161.1739,-48.6571
161.2178,-48.6461
161.2616,-48.6350
161.2616,-48.6350
161.3054,-48.6239
161.3493,-48.6128
161.3930,-48.6017
161.3930,-48.6017
161.4368,-48.5905
161.4805,-48.5794
161.5242,-48.5682
161.5242,-48.5682
161.5679,-48.5570
161.6116,-48.5458
161.6552,-48.5346
161.6552,-48.5346
161.6989,-48.5233
161.7425,-48.5121
161.7425,-48.5121
161.7861,-48.5008
161.8297,-48.4895
161.8732,-48.4781
161.8732,-48.4781
161.9168,-48.4668
161.9603,-48.4555
162.0038,-48.4441
162.0038,-48.4441
162.0472,-48.4327
162.0907,-48.4213
162.1341,-48.4098
162.1341,-48.4098
162.1775,-48.3984
162.2209,-48.3869
162.2209,-48.3869
162.2643,-48.3754
162.3076,-48.3639
162.3509,-48.3524
162.3509,-48.3524
162.3943,-48.3409
162.4376,-48.3293
162.4809,-48.3177
162.4809,-48.3177
162.5242,-48.3061
162.5674,-48.2945
162.6106,-48.2829
162.6106,-48.2829
162.6538,-48.2713
162.6969,-48.2596
162.6969,-48.2596
162.7401,-48.2479
162.7832,-48.2362
162.8263,-48.2245
162.8263,-48.2245
162.8694,-48.2128
162.9125,-48.2010
162.9555,-48.1893
162.9555,-48.1893
162.9986,-48.1775
163.0415,-48.1657
163.0845,-48.1539
163.0845,-48.1539
163.1275,-48.1420
163.1704,-48.1302
163.1704,-48.1302
163.2134,-48.1183
163.2562,-48.1064
163.2991,-48.0945
163.2991,-48.0945
163.3420,-48.0825
163.3848,-48.0706
163.4276,-48.0586
163.4276,-48.0586
163.4705,-48.0466
163.5133,-48.0346
163.5133,-48.0346
163.5561,-48.0226
163.5988,-48.0106
163.6416,-47.9985
163.6416,-47.9985
163.6842,-47.9865
163.7269,-47.9744
163.7696,-47.9623
163.7696,-47.9623
163.8122,-47.9501
163.8548,-47.9380
163.8974,-47.9259
163.8974,-47.9259
163.9399,-47.9137
163.9824,-47.9015
163.9824,-47.9015
164.0250,-47.8893
164.0675,-47.8771
164.1100,-47.8648
164.1100,-47.8648
164.1524,-47.8526
164.1948,-47.8403
164.2373,-47.8280
164.2373,-47.8280
164.2796,-47.8157
164.3220,-47.8034
164.3643,-47.7910
164.3643,-47.7910
164.4067,-47.7787
164.4490,-47.7663
164.4913,-47.7539
164.4913,-47.7539
164.5335,-47.7415
164.5758,-47.7290
164.5758,-47.7290
164.6181,-47.7166
164.6602,-47.7041
164.7024,-47.6917
164.7024,-47.6917
164.7446,-47.6792
164.7867,-47.6666
164.8288,-47.6541
164.8288,-47.6541
164.8709,-47.6416
164.9130,-47.6290
164.9550,-47.6164
164.9550,-47.6164
164.9970,-47.6038
165.0390,-47.5912
165.0390,-47.5912
165.0811,-47.5786
165.1231,-47.5659
165.1651,-47.5532
165.1651,-47.5532
165.2070,-47.5405
165.2489,-47.5278
165.2908,-47.5151
165.2908,-47.5151
165.3327,-47.5024
165.3745,-47.4896
165.3745,-47.4896
165.4163,-47.4769
165.4581,-47.4641
165.4999,-47.4513
165.4999,-47.4513
165.5417,-47.4384
165.5834,-47.4256
165.6251,-47.4128
165.6251,-47.4128
165.6668,-47.3999
165.7085,-47.3870
165.7085,-47.3870
165.7501,-47.3741
165.7917,-47.3612
165.8334,-47.3482
165.8334,-47.3482
165.8750,-47.3353
165.9166,-47.3223
165.9581,-47.3093
165.9581,-47.3093
165.9997,-47.2963
166.0412,-47.2833
166.0412,-47.2833
166.0836,-47.2700
166.1250,-47.2569
166.1665,-47.2438
166.1665,-47.2438
166.2080,-47.2307
166.2493,-47.2176
166.2907,-47.2045
166.2907,-47.2045
166.3321,-47.1914
166.3736,-47.1782
166.3736,-47.1782
166.4150,-47.1650
166.4562,-47.1518
166.4975,-47.1386
166.4975,-47.1386
166.5388,-47.1254
166.5800,-47.1121
166.6212,-47.0989
166.6212,-47.0989
166.6624,-47.0856
166.7036,-47.0723
166.7447,-47.0590
166.7447,-47.0590
166.7858,-47.0457
166.8269,-47.0324
166.8269,-47.0324
166.8680,-47.0190
166.9090,-47.0057
166.9501,-46.9923
166.9501,-46.9923
166.9911,-46.9789
167.0321,-46.9655
167.0731,-46.9520
167.0731,-46.9520
167.1140,-46.9386
167.1549,-46.9251
167.1549,-46.9251
167.1958,-46.9117
167.2366,-46.8982
167.2776,-46.8846
167.2776,-46.8846
167.3184,-46.8711
167.3592,-46.8576
167.4000,-46.8440
167.4000,-46.8440
167.4408,-46.8304
167.4815,-46.8168
167.5222,-46.8032
167.5222,-46.8032
167.5629,-46.7896
167.6036,-46.7760
167.6036,-46.7760
167.6442,-46.7623
167.6848,-46.7487
167.7254,-46.7350
167.7254,-46.7350
167.7660,-46.7213
167.8066,-46.7076
167.8472,-46.6938
167.8472,-46.6938
167.8877,-46.6801
167.9282,-46.6663
167.9282,-46.6663
167.9687,-46.6525
168.0092,-46.6387
168.0496,-46.6249
168.0496,-46.6249
168.0900,-46.6111
168.1305,-46.5972
168.1709,-46.5834
168.1709,-46.5834
168.2112,-46.5695
168.2515,-46.5556
168.2919,-46.5417
168.2919,-46.5417
168.3322,-46.5278
168.3724,-46.5138
168.3724,-46.5138
168.4127,-46.4999
168.4529,-46.4859
168.4932,-46.4719
168.4932,-46.4719
168.5333,-46.4579
168.5735,-46.4439
168.6136,-46.4299
168.6136,-46.4299
168.6537,-46.4158
168.6938,-46.4018
168.7339,-46.3877
168.7339,-46.3877
168.7740,-46.3736
168.8140,-46.3595
168.8140,-46.3595
168.8540,-46.3453
168.8940,-46.3312
168.9339,-46.3170
168.9339,-46.3170
168.9739,-46.3029
169.0138,-46.2887
169.0537,-46.2745
169.0537,-46.2745
169.0936,-46.2603
169.1334,-46.2460
169.1732,-46.2318
169.1732,-46.2318
169.2130,-46.2176
169.2528,-46.2033
169.2528,-46.2033
169.2926,-46.1890
169.3323,-46.1747
169.3720,-46.1604
169.3720,-46.1604
169.4117,-46.1460
169.4514,-46.1316
169.4911,-46.1173
169.4911,-46.1173
169.5307,-46.1029
169.5703,-46.0885
169.5703,-46.0885
169.6099,-46.0741
169.6495,-46.0596
169.6890,-46.0452
169.6890,-46.0452
169.7285,-46.0307
169.7681,-46.0163
169.8075,-46.0018
169.8075,-46.0018
169.8471,-45.9872
169.8866,-45.9727
169.8866,-45.9727
169.9260,-45.9582
169.9654,-45.9436
170.0047,-45.9290
170.0047,-45.9290
170.0441,-45.9145
170.0834,-45.8999
170.1227,-45.8853
170.1227,-45.8853
170.1621,-45.8706
170.2013,-45.8560
170.2405,-45.8413
170.2405,-45.8413
170.2798,-45.8266
170.3190,-45.8119
170.3190,-45.8119
170.3582,-45.7972
170.3973,-45.7825
170.4365,-45.7678
170.4365,-45.7678
170.4756,-45.7531
170.5147,-45.7383
170.5538,-45.7235
170.5538,-45.7235
170.5928,-45.7087
170.6318,-45.6939
170.6318,-45.6939
170.6709,-45.6791
170.7099,-45.6642
170.7488,-45.6494
170.7488,-45.6494
170.7878,-45.6345
170.8267,-45.6196
170.8656,-45.6047
170.8656,-45.6047
170.9045,-45.5898
170.9434,-45.5749
170.9823,-45.5599
170.9823,-45.5599
171.0211,-45.5450
171.0599,-45.5300
171.0987,-45.5150
171.0987,-45.5150
171.1375,-45.5000
171.1762,-45.4850
171.1762,-45.4850
171.2149,-45.4699
171.2536,-45.4549
171.2922,-45.4399
171.2922,-45.4399
171.3309,-45.4248
171.3695,-45.4097
171.4081,-45.3946
171.4081,-45.3946
171.4466,-45.3795
171.4852,-45.3643
171.5238,-45.3492
171.5238,-45.3492
171.5623,-45.3340
171.6008,-45.3189
171.6008,-45.3189
171.6392,-45.3037
171.6777,-45.2885
171.7161,-45.2733
171.7161,-45.2733
171.7544,-45.2581
171.7928,-45.2428
171.8312,-45.2275
171.8312,-45.2275
171.8695,-45.2123
171.9078,-45.1970
171.9078,-45.1970
171.9461,-45.1817
171.9844,-45.1664
172.0226,-45.1511
172.0226,-45.1511
172.0609,-45.1357
172.0990,-45.1204
172.1372,-45.1050
172.1372,-45.1050
172.1754,-45.0896
172.2135,-45.0742
172.2135,-45.0742
172.2516,-45.0588
172.2897,-45.0434
172.3278,-45.0279
172.3278,-45.0279
172.3659,-45.0124
172.4039,-44.9970
172.4419,-44.9815
172.4419,-44.9815
172.4799,-44.9660
172.5179,-44.9505
172.5558,-44.9349
172.5558,-44.9349
172.5937,-44.9194
172.6316,-44.9039
172.6316,-44.9039
172.6695,-44.8883
172.7074,-44.8727
172.7452,-44.8571
172.7452,-44.8571
172.7830,-44.8415
172.8208,-44.8259
172.8585,-44.8103
172.8585,-44.8103
172.8963,-44.7946
172.9341,-44.7789
172.9341,-44.7789
172.9718,-44.7632
173.0095,-44.7475
173.0471,-44.7318
173.0471,-44.7318
173.0848,-44.7161
173.1224,-44.7004
173.1600,-44.6846
173.1600,-44.6846
173.1976,-44.6689
